condition,status,aligned_z_std_mm,raw_z_std_mm,pass
e0_0rpm,OK,0.1604,387.65,True
e1_20rpm,OK,0.1614,387.67,True
e2_40rpm,OK,0.1692,387.68,True
e3_50rpm,OK,0.1813,387.62,True
e4_60rpm,OK,0.2284,387.54,True
e5_70rpm,OK,2.1576,388.08,True
e6_80rpm,OK,1.4583,387.8,True
e7_90rpm,OK,2.0529,388.0,True
e8_100rpm,OK,0.7084,387.46,True
e9_110rpm,OK,0.3732,387.43,True
e10_120rpm,OK,0.5787,387.45,True
e11_140rpm,OK,2.1264,388.09,True
e12_160rpm,OK,1.796,387.59,True
e13_180rpm,OK,1.7068,387.33,True
e14_200rpm,OK,1.6613,387.28,True
e15_220rpm,OK,1.8243,387.78,True
e16_240rpm,OK,0.9892,387.28,True
e17_260rpm,OK,0.9606,387.29,True
e18_280rpm,OK,1.2044,387.37,True
e19_300rpm,OK,1.3548,387.45,True
e20_320rpm,OK,7.4188,383.34,True
